FuncAddr			CpuTime		Percentage		SelfTime		Percentage		CallTimes		AvarageSelfTime
0x4ffff0bad220		822055				0.000199%		821614				0.000199%		1			821614.000000
0x4ffff073c3a0		27258068				0.006586%		38990				0.000009%		2			19495.000000
0x4ffff0a0a8c4		366				0.000000%		366				0.000000%		1			366.000000
0x4ffff15c07e0		2285045				0.000552%		2285045				0.000552%		33			69243.787879
0x4ffff0a0a36c		72				0.000000%		72				0.000000%		2			36.000000
0x4ffff08ac06c		16153				0.000004%		16153				0.000004%		1			16153.000000
0x4ffff0a91b7c		14813				0.000004%		14813				0.000004%		35			423.228571
0x4ffff0a8d4dc		6945555				0.001678%		6903202				0.001668%		1			6903202.000000
0x4ffff09c0f7c		1446425				0.000349%		91474				0.000022%		1			91474.000000
0x4ffff09bb084		98811				0.000024%		73438				0.000018%		1			73438.000000
0x4ffff09bd18c		1122404				0.000271%		1119555				0.000271%		1			1119555.000000
0x4ffff072ae88		484458				0.000117%		484458				0.000117%		1			484458.000000
0x4ffff0b5383c		269495				0.000065%		267872				0.000065%		1			267872.000000
0x4ffff0777280		36				0.000000%		36				0.000000%		1			36.000000
0x4ffff096d2d8		1936				0.000000%		1936				0.000000%		2			968.000000
0x4ffff0b4d6f4		134184				0.000032%		34730				0.000008%		1			34730.000000
0x4ffff0b5b080		10624435				0.002567%		10602680				0.002562%		33			321293.333333
0x4ffff0b1c01c		2201483093				0.531938%		31018236				0.007495%		33			939946.545455
0x4ffff0b20480		6679				0.000002%		6679				0.000002%		33			202.393939
0x4ffff0b04fbc		376206648639				90.901689%		10114744014				2.443995%		33			306507394.363636
0x4ffff0a6b640		19685				0.000005%		19685				0.000005%		1			19685.000000
0x4ffff0bbf640		482573				0.000117%		464770				0.000112%		66			7041.969697
0x4ffff0a0a9c0		872				0.000000%		872				0.000000%		2			436.000000
0x4ffff0b5a7a8		903970				0.000218%		54188				0.000013%		2			27094.000000
0x4ffff0b5e29c		366882360990				88.648689%		5796972				0.001401%		1			5796972.000000
0x4ffff092e22c		50				0.000000%		50				0.000000%		1			50.000000
0x4ffff076ecf4		194440				0.000047%		9818				0.000002%		1			9818.000000
0x4ffff0a8dd20		8193938				0.001980%		7218314				0.001744%		1			7218314.000000
0x4ffff0b09ffc		70811				0.000017%		59983				0.000014%		1			59983.000000
0x4ffff08c6718		163190				0.000039%		163190				0.000039%		421			387.624703
0x4ffff07335a0		49				0.000000%		49				0.000000%		1			49.000000
0x4ffff08afba4		53				0.000000%		53				0.000000%		1			53.000000
0x4ffff07e6fd8		405				0.000000%		405				0.000000%		1			405.000000
0x4ffff0849160		59				0.000000%		59				0.000000%		1			59.000000
0x4ffff07336d0		36				0.000000%		36				0.000000%		1			36.000000
0x4ffff0849238		288				0.000000%		288				0.000000%		1			288.000000
0x4ffff086a2b8		1736				0.000000%		1736				0.000000%		1			1736.000000
0x4ffff09707dc		56739636				0.013710%		45356131				0.010959%		6			7559355.166667
0x4ffff07dbf98		13370260				0.003231%		13370260				0.003231%		73			183154.246575
0x4ffff0a54a04		218320				0.000053%		151127				0.000037%		1			151127.000000
0x4ffff0a10e04		556				0.000000%		556				0.000000%		4			139.000000
0x4ffff08311b8		629				0.000000%		629				0.000000%		3			209.666667
0x4ffff0745600		73				0.000000%		73				0.000000%		1			73.000000
0x4ffff07482bc		54				0.000000%		54				0.000000%		1			54.000000
0x4ffff07e2f8c		19664245				0.004751%		16491987				0.003985%		60			274866.450000
0x4ffff07eeda8		855				0.000000%		855				0.000000%		1			855.000000
0x4ffff072a78c		43070403				0.010407%		43070403				0.010407%		2			21535201.500000
0x4ffff072a3d0		594595961				0.143670%		594595961				0.143670%		422			1408995.168246
0x4ffff07e19e8		317283620				0.076664%		317283620				0.076664%		511188			620.678928
0x4ffff0868d84		845400				0.000204%		845400				0.000204%		2			422700.000000
0x4ffff077a5fc		677				0.000000%		677				0.000000%		2			338.500000
0x4ffff077c0d4		14831				0.000004%		14831				0.000004%		122			121.565574
0x4ffff07f70c8		1917983				0.000463%		1917983				0.000463%		211			9089.966825
0x4ffff07e55dc		655138				0.000158%		339419				0.000082%		1			339419.000000
0x4ffff096dfd4		19139313				0.004625%		18844747				0.004553%		46			409668.413043
0x4ffff0b0dab0		4904				0.000001%		4904				0.000001%		34			144.235294
0x4ffff06cb048		69462				0.000017%		69462				0.000017%		1			69462.000000
0x4ffff077c7dc		310610				0.000075%		310610				0.000075%		1			310610.000000
0x4ffff0788898		1009195644				0.243849%		9891012				0.002390%		1			9891012.000000
0x4ffff06ffc50		676389				0.000163%		676389				0.000163%		2			338194.500000
0x4ffff06ee308		165358				0.000040%		165358				0.000040%		1			165358.000000
